response_uuid,coder_id,question_set,question_id,response_transcript,transcriber_comments,response_category,coder_comments
c7ffee16-323a-481d-9efa-870ed528d8e9,Jiayi,container,bucket,"[Hm? Yes say it out loud] Uhmm... He dropped it, and then, it didn't spill because he dropped it, on like, where the bucket wouldn't spill.",NA,incorrect_response,Double-checked. No gesture used in original videos.
c7ffee16-323a-481d-9efa-870ed528d8e9,Jiayi,container,potato,"[If you ever wanna replay it, we will play it there] Hmm, let me think. It's heavier because he is lighter, and it feels like its heavier.",NA,incorrect_response,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Jiayi,container,cup,"There wasn't water in there, there was something different?",NA,target_solution,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Janie,viewing,keys,She said before it was light outside.,NA,incorrect_response,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Janie,viewing,cow,"Uhmm, he had binoculars or he has like, really good eyes.",NA,incorrect_response,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Janie,viewing,bedroom,"The light switch was still on, and then it turned off, when he got into bed.",NA,alternative_solution,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Cecilia,gender,teacher,She might be joking?,NA,incorrect_response,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Cecilia,gender,firefighter,"Uhm... he's just like, helping the guy before he gets home.",NA,incorrect_response,NA
c7ffee16-323a-481d-9efa-870ed528d8e9,Cecilia,gender,basketball,Girls were scoring,NA,target_solution,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Cecilia,gender,firefighter,"Because the other firefighter proves that, have, he was kinda look the same",NA,incorrect_response,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Cecilia,gender,teacher,"[You can replay it if you want to replay it, it's the blue button] No I have it [Okay] Its because some people forget, its, its, *unclear audio* but some people do not",NA,incorrect_response,I mark it as incorrect because I think people can't forget sibling relationships. ﻿
32470480-ca2b-4c13-8101-a8d434f4b3e5,Cecilia,gender,basketball,"[Ok, do you want me to replay it?] Because some people might forget, but they actually do win, but sometimes they forget.",NA,incorrect_response,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Janie,viewing,bedroom,Maybe its because the lamp goes really slowly until it turns off.,NA,alternative_solution,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Janie,viewing,cow,Because maybe it was a ruthless car [A ruthless car? Hahaha],NA,incorrect_response,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Janie,viewing,keys,"[How could she see her keys?] Because maybe, some animals have eyes that have eyes that, have special things, and they can see in the dark. They're like glowing eyes.",NA,incorrect_response,special eyes - incorrect; but reference to animals with special night vision
32470480-ca2b-4c13-8101-a8d434f4b3e5,Jiayi,container,cup,Because there was no water in the cup,NA,target_solution,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Jiayi,container,potato,"Because some people don't know how heavy the bag is. And when they try to carry them somewhere, they get heavier. More stuff you have.",NA,incorrect_response,NA
32470480-ca2b-4c13-8101-a8d434f4b3e5,Jiayi,container,bucket,Because it had dirt in it [Because it had dirt in it? Hahaha],NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Janie,viewing,keys,"[How can she see her key?] He need to open the light, open the light.",NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Janie,viewing,cow,"When he gets closer, when he gets closer [When he gets closer to the cow?] Yeah",NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Janie,viewing,bedroom,"[Okay, listen again, okay? About Timmy, Timmy sleeping okay?] Then he need to turn back on the light, turn back on the light, turn back on.",NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Cecilia,gender,teacher,"[Listen to Piggy. Can you guess? Do you want to listen again?] Yeah... *replays question* So, he needs to buy a pet, buy a pet [Okay] No, I mean... [It's alright, it's alright, you just gave your best guess. You don't know?] Yeah, I don't know what he's meaning",NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Cecilia,gender,basketball,"*distraction* [So he wins, and then?] But... He just could get a point now [30 points. Do you want to listen again?] Yeah [How could this be? What do you think?] I think he wins, I think he wins, I think he win [You mean the...] The monkey wins",NA,incorrect_response,violates riddle
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Cecilia,gender,firefighter,"[You don't know?] Yeah, I just don't know what it means [Can you give a best guess?] I think a firefighter used some water to spray the pizza!",NA,incorrect_response,not really plausible
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Jiayi,container,bucket,"[If you don't understand, you don't have an answer to it. You can just say I don't know so... I don't know. Okay?] Hm, okay. *replays question* Hmmm, I don't know. I don't know. i don't know.",NA,incorrect_noresponse,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Jiayi,container,potato,"[Give your best guess, okay?] Okay. [Listen.]  *replays question* [She has one bag, and he has three bags. Why her one bag weights more than his three bags?] Because he, he, he buys more potatoe. buys more potatoes. buys more potatoes.",NA,incorrect_response,NA
8f4dea3d-69fc-4bca-b2fd-766e6c4f00a9,Jiayi,container,cup,I think that was magic {magic?] Magic. Magic.,NA,incorrect_response,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Janie,viewing,bedroom,His room wasn't very wide [Humm],NA,incorrect_response,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Janie,viewing,keys,I don't know [Take a guess. Or just think about whats confusing you or whatever] I just don't know [Explain whats making it hard] I don't know. like there is... I don't know [Do you want to hear the question again?] No [Do you remember the whole thing?] *nods* [What happened then?] I don't know it [I'm thinking that if you talk through it again you might be able to come up with a reason] I don't,NA,incorrect_noresponse,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Janie,viewing,cow,"The moon is out, you said that yourself [But they said how did the driver see the cow, if the moon is not out] Because he can see, if the moon is not out because of the sun [Oh, well you didn't say that part, because the sun was out?] *nods*",NA,target_solution,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Jiayi,container,potato,"There's a different product in, in the three bags [Hmm]",NA,alternative_solution,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Jiayi,container,cup,"It had a top, or a lid on it [A lid on it?] Uhum",NA,incorrect_response,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Jiayi,container,bucket,There was no water in it,NA,target_solution,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Cecilia,gender,basketball,"I do not [Do you need to hear it again?] No [I wasn't listening, so I didn't hear them] It was, so...Somewhat, a team won with more than 30 points, but no one scored [Hmm] I do not know [I want to hear, I want to listen... Hmmm] All the girls scored points! [Oh, very good]",NA,target_solution,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Cecilia,gender,teacher,"Um, umm, the artist was lying [Hahaha]",NA,incorrect_response,NA
f2bfb7d4-123d-4d06-863d-d35aea29ddbc,Cecilia,gender,firefighter,Its... The younger one is the sister of the other one [Humm],NA,target_solution,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Janie,viewing,cow,Because it's high,NA,incorrect_response,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Janie,viewing,keys,"Because it ligthed again [Because?] Because it ligthed again [Lighted?] Maybe she put her head down? [What do you mean like... Lighter? What did you say?] I? [Yeah] Cause she put her head down, or because she, hmm, she, she [Okay, you said something different, so we say child said something different] I said, yeah, I did",NA,incorrect_response,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Janie,viewing,bedroom,"How he went? [Yeah, how he went... We are gonna replay. Let's replay. He got in bed before the room turned dark. Do you want to replay?] No, thank you [You can think out loud] Because it was the night and he was going quickly to his bed [Because he thought it was the night?] No, because it was. It was almost the night [It was almost the night?] Yes [Meaning?] So he went quickly into his bead [Let's replay one more time] Because he run? [You want to listen one more time?] No [Because he ran? Because he ran, so, because he ran, he went to bed before the room turned black?] Yes",NA,target_solution,it's almost night >> still daytime
fb93cd2d-9240-43d5-8959-50883541abaf,Jiayi,container,bucket,Because he didn't put water in it,NA,target_solution,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Jiayi,container,cup,Was there water in the cup? [Let's replay] Because it didn't fall in the cup [Let's replay one more time] Because there were some things to protect it [SOmething to protect it? Go next],NA,incorrect_response,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Jiayi,container,potato,"Because he has a feather bag? [Let's replay] *fussy* [Do you want to replay?] *shakes head* Because he put it, other fruits in his bag [Other fruits? Yeah, what kind of fruits he put in his bag?] Tomato? Other food! [Other food?] Yes, tomato [So, because he put other food then what] Because he has the same, the same, hm... The same size [Same size? But...] But what? [Okay, okay, that's good. So, because he put different food inside, so it has the same size? But...] What? [Okay, you want to replay or that's it?] Replay [Same size] I don't understand [You don't understand? Okay. Okay. We move next]",NA,alternative_solution,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Cecilia,gender,teacher,Because she looks like her sister [Oh. The next?] Yes.,NA,incorrect_response,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Cecilia,gender,firefighter,"I don't understand [Replay] So the little brother, is not the brother of the big brother [Replay. Two firefighters] Because he's too small? [Okay, next]",NA,incorrect_response,NA
fb93cd2d-9240-43d5-8959-50883541abaf,Cecilia,gender,basketball,Because they did more goals? [They did more goals? Let's replay] Because only the one that said who has the boys... Only one person did all the goals [Do you want to replay again?] No [Ok],NA,incorrect_response,NA
f75de31a-8092-459e-a762-f5a26e0bba51,Jiayi,container,potato,"[Do you have any guess?] No [Do you want to hear it again?] No [You don't want to hear the questions?] I just, like, when I say hear again you can just say it for me [Well I have to... I can't repeat it, I have to play it how they want] But it says right there [What?] It says right there. there [No, that's instructions. Do you want to listen to it again?] No [Can you make a guess?] No",NA,incorrect_noresponse,NA
f75de31a-8092-459e-a762-f5a26e0bba51,Jiayi,container,cup,Maybe the cup just has reflection [Okay],NA,incorrect_response,NA
f75de31a-8092-459e-a762-f5a26e0bba51,Jiayi,container,bucket,"The water didn't tilt, its is off [What?] The water didn't tilt like that. It just went like straight down. [Ohh, okay]",NA,incorrect_response,NA
f75de31a-8092-459e-a762-f5a26e0bba51,Janie,viewing,cow,Outside his window,NA,incorrect_response,NA
f75de31a-8092-459e-a762-f5a26e0bba51,Janie,viewing,bedroom,"He probably used like a little stick, and then like, have the light switch [Okay]",NA,incorrect_response,NA
